2790		AQUCHR	Aquila chrysaetos	Maakotka	Kungsörn	Golden Eagle
2800		ACCNIS	Accipiter nisus	Varpushaukka	Sparvhök	Eurasian Sparrowhawk
2810		ASTGEN	Astur gentilis	Kanahaukka	Duvhök	Eurasian Goshawk
2820		CIRMAC	Circus macrourus	Arosuohaukka	Stäpphök	Pallid Harrier
2830		CIRCYA	Circus cyaneus	Sinisuohaukka	Blå kärrhök	Hen Harrier
2840		CIRPYG	Circus pygargus	Niittysuohaukka	Ängshök	Montagu's Harrier
2850		CIRAER	Circus aeruginosus	Ruskosuohaukka	Brun kärrhök	Western Marsh Harrier
2860		MILMIL	Milvus milvus	Isohaarahaukka	Röd glada	Red Kite
2870		MILMIG	Milvus migrans	Haarahaukka	Brun glada	Black Kite
2880		HALLEU	Haliaeetus leucoryphus	Aromerikotka	Bandhavsörn	Pallas's Fish Eagle
2890		HALALB	Haliaeetus albicilla	Merikotka	Havsörn	White-tailed Eagle
2900		BUTLAG	Buteo lagopus	Piekana	Fjällvråk	Rough-legged Buzzard
2910		BUTBUT	Buteo buteo	Hiirihaukka	Ormvråk	Common Buzzard
2920		BUTRUF	Buteo rufinus	Arohiirihaukka	Örnvråk	Long-legged Buzzard
2930		Lahko	Bucerotiformes	Sarvinokkalinnut				
2940		UPUEPO	Upupa epops	Harjalintu	Härfågel	Common Hoopoe
2950		Lahko	Coraciiiformes	Säihkylinnut				
2960		CORGAR	Coracias garrulus	Sininärhi	Blåkråka	European Roller
2970		MERAPI	Merops apiaster	Mehiläissyöjä	Biätare	European Bee-eater
2980		MERPER	Merops persicus	Vihermehiläissyöjä	Grön biätare	Blue-cheeked Bee-eater
2990		ALCATT	Alcedo atthis	Kuningaskalastaja	Kungsfiskare	Common Kingfisher
3000		Lahko	Piciformes	Tikkalinnut				
3010		JYNTOR	Jynx torquilla	Käenpiika	Göktyta	Eurasian Wryneck
3020		PICCAN	Picus canus	Harmaapäätikka	Gråspett	Grey-headed Woodpecker
3030		PICVIR	Picus viridis	Vihertikka	Gröngöling	European Green Woodpecker
3040		DRYMAR	Dryocopus martius	Palokärki	Spillkråka	Black Woodpecker
3050		PICTRI	Picoides tridactylus	Pohjantikka	Tretåig hackspett	Eurasian Three-toed Woodpecker
